COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Denmark,ALL,2003.0,77.58,3719.0,5.4,33.0,50.23,13.9,162.3,101.46,1920.0
Denmark,ALL,2004.0,77.98,3737.0,9.2,24.0,50.75,13.3,162.77,103.67,2730.0
Denmark,ALL,2005.0,78.44,3717.0,4.8,27.0,51.26,13.6,161.86,101.78,3890.0
Denmark,ALL,2006.0,78.5,3723.0,5.1,22.0,51.75,13.5,167.82,102.36,4820.0
Denmark,ALL,2007.0,78.61,3724.0,0.1,20.0,52.24,13.7,174.21,106.24,5410.0
Denmark,ALL,2008.0,78.98,3763.0,0.2,19.0,52.71,13.9,173.28,107.3,5570.0
Denmark,ALL,2009.0,79.2,3740.0,0.5,20.37,53.17,13.9,172.79,102.78,6480.0
Denmark,ALL,2010.0,79.52,3718.0,0.7,19.1,53.62,14.1,171.68,105.03,7450.0
Denmark,ALL,2011.0,80.07,3672.0,0.8,16.1,54.07,13.6,162.15,106.52,7740.0
Denmark,ALL,2012.0,80.39,3664.0,0.9,30.2,54.52,13.5,163.65,107.08,6610.0
Denmark,ALL,2013.0,80.56,3659.0,1.0,29.15,54.97,12.5,162.3,109.6,4790.0
Denmark,ALL,2014.0,80.99,3687.0,1.1,28.86,55.43,13.4,165.53,107.42,4110.0
Denmark,ALL,2015.0,81.03,3699.0,1.2,23.9,34.7,13.5,166.1,109.71,4080.0
Denmark,ALL,2016.0,81.17,3691.0,1.2,26.5,35.1,12.9,164.54,108.95,4510.0
Denmark,ALL,2017.0,81.38,2318.0,1.3,25.7,35.6,12.9,39.1,69.39,4480.0
Denmark,ALL,2018.0,81.23,2235.0,1.3,22.5,36.1,12.8,36.1,67.43,4880.0
Denmark,ALL,2019.0,81.76,2159.0,1.4,26.4,36.6,13.35,38.13,62.92,2790.0
Denmark,ALL,2020.0,81.85,2126.0,1.4,26.2,37.1,12.35,37.19,62.14,3080.0
Denmark,ALL,2021.0,82.57,2223.0,1.4,23.5,37.6,12.09,41.84,62.6,3640.0
Spain,ALL,2000.0,79.48,2021.0,1.3,24.1,38.1,12.31,32.92,60.18,4690.0
Spain,ALL,2001.0,79.8,2119.0,1.2,27.2,38.6,12.17,34.3,63.33,6000.0
Spain,ALL,2002.0,79.88,2185.0,1.0,25.4,39.1,12.14,37.51,64.98,6910.0
Spain,ALL,2003.0,79.78,2282.0,1.0,24.3,39.7,12.58,37.25,67.17,7580.0
Spain,ALL,2004.0,80.46,2371.0,0.9,23.4,40.2,12.54,38.83,68.95,8220.0
Spain,ALL,2005.0,80.44,2461.0,0.8,24.0,40.7,12.03,41.2,70.88,9560.0
Spain,ALL,2006.0,81.21,2554.0,0.8,21.8,41.3,11.87,46.38,73.1,11730.0
Spain,ALL,2007.0,81.19,2639.0,0.8,23.6,41.8,12.1,50.1,75.24,13980.0
Spain,ALL,2008.0,81.52,2837.0,0.6,22.8,39.78,11.9,50.04,81.91,13190.0
Spain,ALL,2009.0,81.91,3006.0,0.6,21.7,40.09,12.1,49.4,86.7,11180.0
Spain,ALL,2010.0,82.32,3019.0,0.7,22.9,40.4,12.1,48.0,87.76,9430.0
Spain,ALL,2011.0,82.45,3026.0,0.8,22.2,40.7,12.4,49.39,89.07,8860.0
Spain,ALL,2012.0,82.56,2995.0,1.8,22.3,41.02,11.6,52.86,89.37,8820.0
Spain,ALL,2013.0,83.22,3071.0,1.7,18.2,41.33,11.7,61.2,91.09,10170.0
Spain,ALL,2014.0,83.35,3098.0,2.2,19.6,41.65,11.6,62.12,92.41,13090.0
